character,high-freq,medium-freq,examples
力,"力
力量
努力
压力
实力
巧克力
引力
影响力
给力
能力
魅力","一臂之力
主力
人力
免疫力
全力
全力以赴
兵力
创造力
力不从心
力作
力度
力挺
力气
力争
功力
助力
动力
势力
吃力
吸引力
大力
奋力
威力
强力
弹力
想象力
意志力
战斗力
抵抗力
接力
智力
暴力
有力
朱古力
极力
权力
杀伤力
毅力
注意力
活力
潜力
火力
无力
无能为力
王力宏
生命力
用力
尽力
眼力
竞争力
精力
耐力
听力
脑力
苦力
视力
记忆力
财力
费力
卖力
阻力
电力
马力
体力
魄力
魔力
鼎力","力挽狂澜(瀾)
他们(們)用力朝前挤(擠)，想看得清楚些。
我们們再努把力。
这這一拳力量很大。
这這种種药藥的力量大。
请請尽盡一切力量按时時完成任务務。
努力。
他不努力工作。
我会會尽盡最大努力。
对某人施加压力
对某人增加压力
时间挤碎一切事物。所有的事物都在时间的压力下慢慢变老，在时间的罅隙中遗忘。
两个篮球队实力相当。
公牛队输了！这是一场实力悬殊的比赛！
美国的实力并不在于我们拥有诺克斯堡的黄金或者大规模的杀伤性武器，而在于我们教育的本质和我们人民的品质。
巧克力。
一盒巧克力/纸(紙)巾
我没(沒)有巧克力/糖了
引力定律
万有引力不会对坠入爱河的人们负责。
地心引力是一种非常微弱的引力。
你没有足够的影响力去完成它。
这些文章没什么太大影响力。
他言辞的影响力鼓舞了人们。
一枚相当给力的炸弹
还不至于那么不给力吧
像坎耶一样不给力啊
考察某人的能力
人生是强硬的，如果你有能力嘲笑它，你就有能力享受它。
越没能力的人，越自负。
他母亲親是位魅力十足的女性。
他没有他哥哥的魅力。
我不会(會)被他的魅力所蒙(矇)骗(騙)。"
它,,它,
与,"参与
与",,"参与！
棒球就像教堂。 很多人参与，但很少人懂。
我们生来就是有魅力、清新、自然的，一定要先经过教化，才能适合参与进社会。
与與敌敵人决決一死战戰
我永远遠不会會与與政客为為友。
春季与與秋季"
长,"增长
家长
成长
漫长
长
长大
长期
长沙
长相","修长
全长
冗长
副市长
副部长
副院长
加长
助长
团长
地久天长
增长率
天长
天长地久
学长
局长
市长
师长
年长
厂长
厅长
延长
悠长
所长
拉长
擅长
会长
村长
校长
机长
深长
漫漫长夜
特长
班长
生长
省长
社长
科长
站长
细水长流
细长
组长
县长
船长
董事长
处长
行长
见长
语重心长
身长
部长
酋长
长久
长假
长出
长城
长寿
长夜
长存
长安
长官
长宁
长宁区
长岛
长年
长度
长廊
长征
长得
长成
长方形
长春
长春市
长条
长椅
长乐
长江
长治
长满
长牙
长生不老
长白山
长眠
长短
长篇
长者
长处
长裙
长裤
长谈
长跑
长辈
长途
长途车
长进
长远
长队
长靴
长颈鹿
长发
长龙
院长
队长
首长","控制人口增长長
增长(長)10%
10%的增长(長)
作为(為)家长(長)/老师(師)来(來)说(說)⋯
你有什么(麼)建议(議)要向家长(長)提吗(嗎)？
作为家长/ 老师来说…
成长(長)为(為)⋯
胚胎的成长(長)
一个(個)成长(長)中的明星
漫长的人生未必足够好，但好的人生一定足够长。
皮革整饰耗时漫长。
岁月漫长，世事如白云苍狗。
长長兄
长达8个月
我长驻伦敦
每个孩子都是艺术家, 问题是如何在长大后仍然保持是艺术家。
一天时间足以让我们长大一点儿。
当我们长大的时候，自然就相信我们真的长大了。
性格就是长期持续的习惯。
短/ 长期
当权力和长期的恐惧结合的时候才变得令人敬畏。
《战长沙》是京剧中一出著名的红净戏。
据史料记载，长沙用麻石铺路始于清雍正年间，至清光绪元年左右就不再使用了。
《战长沙》是京剧中一出著名的红净戏。
请说说他的长相。
上帝喜欢长相平凡的人，所以他创造了这么多普通人。
也可能只是因为它们长相怪异。"
把,把,把握,"一把剪子
两兩把花
把住栏欄杆"
美,"完美
美
美人
美国
美女
美好
美丽","优美
十全十美
唯美
审美
爱美
甜美
精美
美人计
美元
美化
美味
美国人
美妙
美容
美德
美感
美景
美满
美白
美眉
美瞳
美术
美貌
美金
美食
臭美
赞美","完美！
她是位完美的女主人，能使每个(個)人都参(參)与(與)到谈(談)话(話)中来(來)。
为了优秀而努力，而不是完美。
我们們的明天会會更美。
京剧劇演员員表演得真美。
穿了身儿兒新衣服，看把你美的！
美人不用传，自会有人知。
她真是个美人。
他妻子是一个倾国倾城的美人。
美国國人
美国音乐的创作方法很简单。你所要做的就是做个美国人然后创作你想要的那种音乐。
你能接受美国文化吗？
美女在观者眼中。
美女的吸引力比牛的力量还大。
她可真是个美女。
一切美好的事物都有一个尽头。
玫瑰在花蕾时比满开时更美好。
乐观主义者生活的关键在于足够傻地相信最美好的一切仍会到来。
像花儿兒一样樣美丽麗
美丽麗的人生
青春的骄傲在于力量和美丽，而老年的骄傲在于谨慎。"
相,"互相
相
相信
相册
相爱
相机
相当
相亲
真相","亮相
意气相投
照相
照相机
相互
相交
相伴
相似
相依
相传
相公
相助
相反
相同
相对
相差
相干
相待
相应
相恋
相投
相撞
相会
相望
相比
相濡以沫
相片
相当于
相称
相约
相继
相聚
相声
相处
相见
相见恨晚
相识
相貌
相逢
相连
相遇
相邻
相关
相隔
臭味相投
卖相
长相","互相
互相
互相殴(毆)打
那种種手机機样樣式太旧舊,估计計你相不上。
照炤相
您能给我们照张相吗？
相信
相信⋯
他不相信任何人。
相册
相册冊里裡黑白照片居多。
我要四处寻找，设法找到我的家庭相册。
他们彼此相爱，呼吸与共。
愿你们真心相爱，早结鸾俦。
他和她相爱了，他们觉得这幸福是命中注定的。
其他买(買)来(來)的好东(東)西还(還)包括相机(機)和玩具。
这个相机坏了。
我用相机逗乐自己。
他做这這项項工作正相当當。
这這几幾位棋手水平相当當。
昨天晚上的演出相当當精彩。
他在一次相亲中遇到了他现在妻子。
你把你这次相亲描述得太美好了，不像是真的。
他在一次相亲中遇到了他现在妻子。
我们(們)想了解真相。
毫不隐(隱)瞒(瞞)事实(實)真相⋯
她的观(觀)点(點)相当(當)接近真相。"
见,"梦见
意见
看见
见
见到
见面
遇见","一见如故
不见
不见不散
不见得
主见
偏见
再见
常见
明天见
会见
相见
相见恨晚
碰见
罕见
听见
能见度
见效
见义勇为
见解
见谅
见证
见识
见鬼
视而不见
详见
难得一见
预见","你昨晚都梦见什么了？
我常常梦见独角兽和龙。
昨晚她梦见了她的朋友们。
有意见見就提出来來。
请請你发發表一下意见見。
对對这這个個计計划劃大家还還有什么麼意见見？
你看见見过過瀑布吗嗎？
黑暗中我看见見一个個人影。
看见(見)某人/某事
我下午见見校长長。
汽油见見火就着著。
见見效
你见到谁了？
见到你太好了
我还没见到她。
男人和女人在除非他们愿意或者合适见面，在这之前什么是青春？
永别了！天知道我们什么时候还能再见面。
您愿意和我再见面吗？
遇见老公之前，我可从未坠入爱河。只不过弄湿过几次脚而已。
我碰巧遇见見他。
我从未遇见过这样的情况。"
被,被,"被子
被窝","他被哥哥打了一顿頓。
他被跟踪蹤了。
被灾災"
利,"利
利用
利益
胜利
大吉大利
意大利
战利品
权利
福利
顺利","不利
亨利
便利
利事
利刃
利器
利害
利尿
利己
利市
利弊
利息
利于
利是
利比亚
利润
利物浦
利率
利禄
利索
利落
利马
功利
胜利者
势利
匈牙利
吉利
名利
哈利
多利
失利
奥利奥
奥地利
安利
专利
急功近利
意大利人
意大利面
叙利亚
智利
暴利
有利
比利
比利时
水利
法拉利
流利
净利润
澳大利亚
犀利
获利
玛利亚
盈利
福利院
维多利亚
自私自利
复利
返利
锋利
飞利浦
高利贷
麻利","开(開)头(頭)顺(順)利/开(開)头(頭)不顺(順)利
随(隨)着(著)对(對)话(話)的进(進)行进(進)展变(變)得更加顺(順)利。
新政策弊大于利。
利用
合理利用自然资資源
你甭想利用我,我没沒那么麼幼稚。
增进(進)自己/某人的利益
他们(們)将(將)保护(護)成员(員)的利益。
利益大于名声。
相信胜利的人才会胜利。
胜利属于最坚强不屈的人。
听说胜利到来的那天就好了吧？我说输了也好，在他们赢了战争的同时精神上也输了。
大吉大利。
喜鹊枝头叫，真是大吉大利啊！
喜鹊枝头叫，真是大吉大利啊！
去巴黎/意大利
我很愿(願)意去意大利
这(這)是意大利的某个(個)地方
他的战利品放在壁炉架上。
政客们带着他们的战利品冲向机场。
你们夺走了卡辛努的一件贵重的战利品
我不同意你说的话，但是我愿意誓死捍卫你说话的权利。
把我自己的权利是无价的。
懦夫不能表露爱意，那是勇者的权利。
你们們公司的福利好吗嗎？
我最不信任的人就是那些想要为大家谋福利，但却只有一个行动方针的人。
有哪些福利？
一事成功，百事顺利。
恭维的话能够让事情更加顺利。
在小事上留心，大事才能顺利。"
什,"什么
为什么","干什么
没什么
什么样","什么？
你要什么麼？
我什么麼都不怕。
为什么这么做？
你看到已经存在的事物，问‘为什么如此呢?' 但我却梦想从未有过的事物；并问，“为什么不能呢?”
为什么吸毒者和电脑爱好者都被称为用户？"
二,"二
十二
第二","一石二鸟
二十
二十多
二哥
二奶
二手
二手房
二月
二百五
二胡
二郎神
二郎腿
初二
十二月
大二
接二连三
星期二
独一无二
老二
周二","二月
二/三等点(點)五
他们(們)占(佔)了差不多三分之二的人口
一年有十二个月。
鲍勃的生日是十二月八日。
人民公园每晚十二点静园。
小说說的第二回
她刚生了第二个孩子
所有行为都会带来后果, 这是人生第一条定律。而第二条就是你是唯一对其负责的人。"
等,等,"平等
等到
等待
等于
等等
等级","这這等人
等她来了,我们們再讨討论論。
我喜欢歡足球、篮籃球、排球等三项項运運动動。"
产,"国产
地产
房地产
特产
生产
产品
产业
产生
破产
财产
资产
遗产","中产
停产
倾家荡产
共产主义
共产党
共产党人
出产
剖腹产
土特产
妇产科
家产
房产
房产证
投产
日产
早产
水产
流产
生产力
生产线
生产队
产
产下
产值
产假
产前
产区
产地
产妇
产后
产房
产业化
产业链
产检
产权
产物
产能
产量
盛产
矿产
临产
农产品
难产
高产","
经經营營地产產开開发發
这家公司做地产买卖。
这块地产最早可追溯到11世纪。
我想投资房地产。
房地产是一种好的投资吗？
摩根士丹利房地产基金将持有约10%的股份。
这个地方特产是什么？
盖柿是北京的特产之一。
葡萄干是新疆一带的特产。
艺术家是生产人们不需要拥有的东西的人。
我们还未生产出新材料。
你们厂一年有多大的生产能力？
您要看看新产品吗？
智慧不是学校的产品，而是一生追求才能获得。
不要食用三无产品。
产业资本继续滑落。
她是万豪产业的唯一继承人。
那些产业受工会的管理。
绅士的产生始于教育，完成于交际。
骄傲是由自己对自己过高的评价而产生的愉悦。
财富为奢侈与怠惰之母，贫穷为卑鄙为邪恶之母，二者都同样会产生不满情绪。
宣告破产(產)
他破产了，身无分文。
一个国家不能申请破产。
最好的想法是共有的财产。
财产越多，忧虑越多。
男人最宝贵的财产是就是一个支持他的妻子。
你能算出这个公司的资产净值吗？
他的资产估计有45亿美元。
特殊的土地资产都有征税。
母亲死后没有留给他们任何遗产。
没有一笔遗产能像诚实一样丰厚。
父亲的美德是留给孩子的最好的遗产。"
或,或,"或是
或者
或许","到下周週或可完成任务務。
今天或明天，这這份功课課我一定得完成。
无無论論刮颳风風或下雨，他都准準时時上班。"
机,"司机
手机
机场
机会
机遇
飞机","主机
乘机
停机
先机
动机
危机
取款机
吹风机
商机
契机
座机
待机
心机
战机
战斗机
打印机
打火机
投机
拖拉机
接机
摄像机
搅拌机
收音机
时机
有机
机
机制
机动
机动车
机器
机器人
机房
机敏
机智
机械
机构
机油
机率
机票
机缘
机能
机身
机车
机长
机关
机灵
机体
死机
洗衣机
照相机
玄机
班机
生机
登机
登机口
登机牌
发动机
直升机
相机
耳机
良机
计算机
趁机
转机
游戏机
开机
关机
随机
电视机
飞机场
饮水机","司机
把优(優)惠券打印出来，拿给(給)公共车(車)司机(機)看。
笨蛋和他的司机想法不一样。
我不赞(贊)成儿(兒)童用手机(機)。
如今许(許)多学(學)童都有自己的手机(機)。
我没沒有手机機。
该去机场了。
他们正驶向机场。
到机场多长时间？
机会
""你越是了解世界，就越有机会嘲笑它。""
命运不是一种机会，而是一种选择，它不是用来等待的，而是拼搏去获得的。
聪明的人能将机遇变成好运。
是选择，而不是机遇决定了你的命运。
大的机遇往往会出现在那些制造了很多小机会的人的身上。
撞车/ 飞机失事
他不喜欢坐飞机
能带上飞机吗？"
十,"三十
十
十二
十分","七十
二十
二十多
五十
八十
六十
十一
十七
十三
十九
十二月
十五
十全十美
十八
十六
十四
十字
十字绣
十几
十月
十万
十足
四十
年三十","二十不俊一生丑,三十不强一生弱,四十不富一生穷,五十不智一生愚。
对于一个想要教学的人来讲，这近三十个不想学习的人, 太多了。
我三十刚出头。
十月
不十分相同
棒球运动是百分之十的心理。剩下的百分之十是身体。
一年有十二个月。
鲍勃的生日是十二月八日。
人民公园每晚十二点静园。
我十分满滿意。
不十分相同
不十分相同"
民,"人民
人民币
公民
市民
民主
民族","人民网
全民
周渝民
回民
国民
国民党
国泰民安
居民
平民
村民
民
民俗
民国
民居
民工
民心
民意
民歌
民营
民生
民众
民航
民谣
民警
民进党
民间
渔民
牧民
移民
网民
股民
亲民
农民
农民工
游民
选民","为為人民服务務
英国國人民
为了人民我不能那么做。
收人民币吗？
这件衣服售价10000元人民币。
那条裙子要几百块人民币。
如果我的相对论被证明是正确的，那德国人就会宣称我是个德国人，法国佬就会说我是这世界的一个公民。
他是法国公民。
我不是雅典人，也不是希腊人，而是这世界的一个公民。
荣榮誉譽市民
市民会支持他们相信的东西。
现在的市民都喜欢食用无公害蔬菜。
民主的爱是平等。
民主国家的基础是自由。
有人说民主制度是除了其他所有曾经尝试过的政府形式外最坏的。
少数數民族
中美洲的土著民族
从对待动物的态度可以判断一个民族是否伟大，道德是否进步。"
第,"第
第一","第二
第五","得第3名等
转(轉)至第10页(頁)
法国(國)和英国(國)分别(別)名列第3和第4
成就大业，自信是第一位的。
第一/ 二挡
第一/ 二/ 三人称"
公,"公主
公交
公司
公园
公寓
公民
公路
公里
老公
办公室","不公
主人公
公
公事
公交车
公仔
公布
公元
公公
公共
公分
公务员
公告
公婆
公子
公安
公安局
公安部
公家
公平
公厕
公式
公敌
公斤
公会
公款
公正
公然
公牛
公益
公众
公认
公猪
公费
公车
公道
公开
公开赛
公关
公鸡
公馆
分公司
外公
天公
平方公里
济公
相公
蒲公英
办公
办公楼
阿公","我的狗听到叫“公主”就会答应。
我要是公主，就要一座粉色的宫殿。
从前，这里住着一位美丽的公主。
公交是城市的窗口。
在公交车(車)站
在公交车站
进進出口公司
受雇(僱)于(於)某公司/某人的公司
公司授权她代表公司发言。
我们們一起去公园園吧。
我们去公园溜溜狗吧。
他们在公园集合。
公寓
带(帶)家具的公寓
我买(買)了一套公寓作为(為)投资(資)。
如果我的相对论被证明是正确的，那德国人就会宣称我是个德国人，法国佬就会说我是这世界的一个公民。
他是法国公民。
我不是雅典人，也不是希腊人，而是这世界的一个公民。
公路专(專)用三轮(輪)车(車)
卡车(車)在五号(號)公路上西行。
汽车(車)在M25公路上向东行驶(駛)。
以时(時)速70公里
每小时(時)100公里
面积(積)50平方公里
遇见老公之前，我可从未坠入爱河。只不过弄湿过几次脚而已。
那个宝宝像你老公。
她老公容貌俊秀，风流倜傥。
办公室
请您告诉他们如何到我的办公室，好吗？
我在找办公室。"
此,"如此
此","因此
彼此
从此
此刻
此外
此时
特此","人生如此美好！
他的态態度竟如此恶惡劣。
听聽说說要放10天假。 —但愿願如此。
此路不通
此消彼长。
他对此很机敏。"
已,"已
已经",而已,"死而后後已
大会會已于於昨日闭閉幕。
前期工作已准準备備完毕畢。
已经經到深秋了。
已经够热/ 难的了
不要轻视那些已经死去的勇士，我们应该记得他们生前英勇的行为。"
工,"员工
工作
工资","人工
做工
分工
加工
化工
完工
工
工人
工作室
工作日
工作服
工作者
工作量
工伤
工具
工商
工地
工夫
工厂
工时
工会
工业
工程
工程师
工艺
工艺品
工行
手工
打工
收工
放工
施工
民工
清洁工
特工
理工
罢工
义工
职工
临时工
苦工
农民工
开工","公司雇用了更多员工。
他为他的员工们操心。
员工被要求无偿工作。
我想找份好工作。
他做任何工作都很尽盡力。
编編译譯字典不是一件简簡单單的工作。
工资(資)低微。
工资低微。
工资多少钱？"
使,"使
使用
即使
天使","使劲
使命
使得
纵使","他不会會使电電脑腦。
他使父母失望了。
电電子词詞典很好使。
我使用宽寬带帶上网網。
使用说說明
在使用中/ 停止使用
即使
即使分手了,他们們还還是朋友。
即使他不来來,我们們也照样樣干幹。
谈论一个天使，天使就会出现。
借的时候像天使，还的时候是像魔鬼。
天使皆为之却步而傻瓜确横冲直撞。"
情,"事情
心情
情
爱情
感情","人情
传情
剧情
友情
同情
多情
心甘情愿
性情
情人
情人节
情侣
情商
情意
情感
情怀
情景
情书
情歌
情况
情节
情绪
情缘
情谊
情调
情愿
恋情
深情
温情
激情
无情
热情
留情
尽情
真情
知情
矫情
纯情
行情
表情
亲情
详情
钟情
风情","他公司事情很多。
事情不会會这這么麼简簡单單。
把事情做好
这這几幾天我心情不好。
心情不好
她心情很好！
热熱情
正在发(發)情
向某人调(調)情
爱情嘲笑距离。
爱情嘲笑锁匠。
爱情能战胜死亡。
他们們感情一直没沒变變。
感情不外露
伤(傷)害某人的感情"
并,"并
并不
并且","一并
并肩
合并","相提并並论論
齐齊头頭并並进進
把脚腳并並起来來
什么也不说的人，并不沉默。
只是因为你眼盲，看不到我的美丽，并不代表它不存在。
没事可做并不快乐，有趣的是有很多事要做而不是做很多事。
我只知道一种鸟——鹦鹉——会说话；并且它飞不了很高。
没有人真正听别人的。并且如果你试一会儿，就知道为什么了。
DOS是丑陋的，并且干扰用户体验。"
物,"事物
人物
动物
宠物
植物
物
物质
生物
礼物
购物
食物","价廉物美
利物浦
动物园
动物性
化合物
博物院
博物馆
吉祥物
实物
宝物
尤物
废物
建筑物
微生物
怪物
文物
景物
植物人
植物园
植物油
混合物
无物
物以类聚
物件
物价
物品
物业
物欲
物流
物理
物种
物美价廉
物色
物资
物体
猎物
生物钟
产物
矿物
矿物质
谷物
致癌物
旧物
万物
药物
衣物
读物
财物
货物
购物券
购物袋
购物车
身外之物
重物
杂物
饰物","接受某事物
和某事物类(類)似
怀(懷)恋(戀)某事物
他是一位有世界影响響的领領袖人物。
这這部小说說塑造了100多个個人物。
重要人物
人类是在动物之中唯一一种不仅仅满足于满足动物欲望的动物。
男人是一种驯养动物，如果坚信他，可以训练他做大多数事情。
人类是唯一一种给过之后欲望增加的动物，也是唯一一种从不满足的动物。
我有宠物。
你养宠物了吗？
我有只宠物狗。
草本植物
动/ 植物王国
我会去照看教室里的植物。
像某物/某人
拆卸某物
快用完某物
用某物处(處)理某种(種)物质(質)/材料
两个灵魂的相遇就像两种化学物质的接触，一丁点的反应就会彻底改变它们。
""水是日常饮食中最容易被忽视的营养物质，但它是必不可少的物质之一。""
生物
生物
火星上有生物吗(嗎)？
要提防送你礼物的人。
棒球是上天赐给凡人的礼物。
自负是上帝送给小男人的礼物。
购物车在哪儿？
在购物中心旁边有。
我们去城里购物吧。
食物都没(沒)了
食物都没了
嚼不了食物。"
手,"分手
手
手机","一手
上手
下手
二手
二手房
人手
伸手
凶手
入手
出手
到手
助手
动手
右手
射手
射手座
对手
左手
帮手
手下
手册
手动
手势
手套
手工
手心
手指
手掌
手提包
手段
手气
手法
手稿
手续
手续费
手腕
手脚
手臂
手艺
手术
手表
手链
手镯
手头
把手
拉手
招手
拿手
握手
挥手
携手
放手
新手
枪手
歌手
杀手
洗手
牵手
联手
能手
举手
举手投足
着手
亲手
选手
随手
顺手
高手","同某人分手
同某人分手
(与(與)某人)分手
暖暖手/脚(腳)
手很灵(靈)巧
割破手/膝盖(蓋)
我不赞(贊)成儿(兒)童用手机(機)。
如今许(許)多学(學)童都有自己的手机(機)。
我没沒有手机機。"
应,"一呼百应
反应
应
应用
应该
答应
适应","供应
供应商
呼应
回应
报应
对应
得心应手
感应
应付
应对
应急
应景
应有尽有
应当
应聘
应聘者
应试
应变
应酬
应验
效应
相应
响应
顺应","人们一呼百应, 纷纷捐款。
服务水准热情体贴，可以用一呼百应来形容。
这這孩子反应應很快。
观觀众眾对對这這部影片的反应應不一。
上级級对對我们們的意见見很快有了反应應。
他们們的要求，你应應了吗嗎？
我朝屋子里裡喊了两兩声聲，没沒人应應。
应應顾顧客需要，我们們增开開了两兩家分店。
没有应用科学这种东西，只有科学的应用。
通过电脑科学的应用，变革已经发生了。
只有成功率在99%以上的技术才能被广泛应用。
过去的悲伤应该只属于过去。
有些书是不应该忘记的，但没有不应该记住的书。
这世界上唯一的恶魔是萦绕在我们内心的，是我们应该与之战斗的。
我答应應借他钱錢。
他想了一会(會)儿(兒)之后(後)答应(應)了。
我答应(應)会(會)将(將)钱(錢)给(給)她送去的。
生活是不公平的；要去适应它。
使自己适应某事
适应力不是模仿。而是意味着反抗和同化的力量。"
战,"作战
大战
战
战利品
战争
战斗
挑战","二战
备战
冷战
奋战
好战
实战
征战
战功
战胜
战友
战国
战地
战场
战士
战役
战战兢兢
战机
战况
战无不胜
战略
战术
战车
战马
战斗力
战斗机
抗战
枪战
决战
空战
背水一战
舌战
血战
论战
转战
迎战
连战
开战","他在战(戰)争(爭)中作战(戰)。
他在战争中作战。
他们徒手作战。
我们要打一场打击盗版的大战。
这场价格大战，两家公司都不是真正的赢家。
第一次世界大战戰
在战(戰)争(爭)期间(間)许(許)多战(戰)士阵(陣)亡了。
生活的目的是为了完善而战。
一场贸易/ 价格战
他的战利品放在壁炉架上。
政客们带着他们的战利品冲向机场。
你们夺走了卡辛努的一件贵重的战利品
幸好战争是如此可怕——否则我们会太喜欢它。
战争的结果在我们手中；讨论的结果在会议中。
一般人都对战争和展览的失败害怕的要死，因为有钱人--不想买任何东西。

面临臨新挑战戰
挑战戰体體能极限
迎接挑战(戰)"
向,"向
方向","一向
倾向
内向
向上
向下
向来
向前
向右
向日葵
向往
走向
转向
面向
风向","我的卧臥室向东東。
我向他表示了感谢謝。
老先生对對考古学學向有研究。
你要朝那个個方向走。
他们們在森林里裡迷失了方向。
方向正确(確)"
头,"回头
年头
抬头
枕头
洗头
尽头
石头
码头
街头
镜头
头
头像
头晕
头疼
头痛
头脑
头发","一头雾水
上头
丫头
乳头
二锅头
人头
人头马
仰头
低头
个头
偏头痛
兆头
光头
出人头地
出头
到头来
剃头
前头
劲头
势头
包头
口头
口头禅
噱头
埋头
外头
多头
对头
山头
崭露头角
巨头
带头
平头
床头
床头柜
后头
从头
从头到尾
彻头彻尾
心头
念头
手指头
手头
扭头
抱头痛哭
拳头
指头
掉头
接头
插头
摇头
摄像头
日头
晕头转向
木头
梳头
桥头
水龙头
汕头
源头
满头大汗
无厘头
焦头烂额
烟头
片头
狮子头
猎头
白头
白头偕老
白头到老
盼头
眉头
看头
碰头
磕头
砖头
秃头
空头
箭头
罐头
老头
老头儿
老头子
临头
舌头
芋头
蓬头垢面
行头
里头
调头
猪头
猫头鹰
起头
跟头
转头
过头
重头戏
钟头
开头
关头
头一
头上
头儿
头大
头昏
头昏脑胀
头条
头版
头皮
头盔
头破血流
头等
头等舱
头绪
头部
头衔
头顶
头头
头颅
头饰
额头
风头
馒头
骨头
鱼头
点头
龙头","回头
你先休息,回头頭我再找你吃晚饭飯。
回头頭见見。



请先给我洗头。
我要洗头。
你洗头了吗？
一切美好的事物都有一个尽头。
在街的尽头
别担心你的人生会有尽头，人生没有开始才是可怕的。
有棱的石头碰上了石匠的凿子。
狗对石头生气，而不对扔石头的人生气。
住在玻璃房子里的人不该扔石头。
很多人都是在他的船即将来到之前就转身离开码头了。
我们打算坐长途车去码头。
船靠近了码头的墙。
我以前常在街头(頭)卖(賣)艺(藝)，但警察总(總)是命令我走开(開)。
他们在街头偶然相遇。
他一个月都露宿街头。
这个镜头还不够完美。
不要变得过分沉浸在镜头前。
这几个镜头是俯摄的。
给个鸡蛋得头牛。
律师的房子建是蠢人的头上。
冬天在我头上，而春天却永远在我心中。
带有毛主席头像的纪念章现在已经很难找到了。
戴帽子的农民头像
带有毛主席头像的纪念章现在已经很难找到了。
啊，我头晕。
我经常头晕。
她感到头晕。
我从昨天起就一直头疼。
这一经历让他很头疼。
我早上起来时有点头疼。
是件令某人头痛的事
他易患严重的偏头痛。
他的头痛几周后复发了。
如此多的头脑，如此多的智慧。
虚弱的身体会削弱头脑。
有头脑的人知道他一个人可以战胜十个没有头脑而且不懂这道理的人。
头发也有影子。
产生智慧的不是白头发。
抓住机会的胡子，因为它的后面没有头发。"
文,"中文
博文
原文
文
文化
文字
文章
文艺
英文","一文不值
三文鱼
人文
作文
天文
天文馆
散文
文人
文件
文具
文学
文凭
文摘
文昌
文明
文本
文档
文物
文献
文盲
文科
文笔
文采
文静
文革
斯文
日文
本文
蔡英文
语文
论文
达尔文
铭文
韩文","中文
中文
学學中文
再见了！我的博文广告！
博文, 用视频推广数字馆藏
等着跟我商讨把博文整理成书的事情。
译譯文必须須忠实實于於原文的主旨。
他的记忆力真是太好了，默写的内容与原文毫分不差。
译文必须忠实于原文的主旨。
这周末交作文。
这這些规規定必须須成文。
他改正了文中的错錯字。
他们們的文化生活很丰豐富。
在文化程度最低之处，你总能找到情绪最强烈的仇恨。
你能接受美国文化吗？
文字排版的最后(後)期限
沉默是一段很容易被误读的文字。
艺术的艺术，表达的荣耀，文字的光芒，是很单纯的。
文章
文章
你看了格雷教授的文章了吗(嗎)？
这所大学有很多文艺社团。
这名诗人出生在文艺复兴时代。
我们要分清楚文艺作品中香花与毒草。
学(學)习(習)英文单(單)词(詞)真是难(難)死人了
有英文菜单吗？
我有本袖珍英文字典。"
体,"身体
体验","一体
主体
五体投地
人体
个体
全体
具体
团体
多媒体
大体
媒体
字体
实体
尸体
得体
扁桃体
抗体
整体
机体
气体
液体
物体
立体
总体
群体
肉体
肢体
裸体
躯体
载体
连体
遍体鳞伤
遗体
集体
体
体内
体制
体力
体味
体型
体坛
体操
体会
体检
体温
体现
体积
体系
体育
体育场
体育馆
体能
体肤
体谅
体贴
体质
体重
体面
体魄","身体(體)健康/不好
我确定一件事，身体不是治愈的方法——平静才是。
眼泪对于心灵犹如香皂对于身体。
DOS是丑陋的，并且干扰用户体验。
真爱是一种永远自我扩张的体验。
体验馆在哪儿?"
政,"政府
政治
政策","执政
执政党
家政
市政
市政府
市政厅
廉政
政
政务
政协
政委
政客
政局
政权
政治家
政治局
政法
政绩
政要
政党
新政
行政
财政
财政部
邮政
邮政局
党政","政府
政府
里根/ 克林顿政府
在政治/经(經)济(濟)方面
政治和运(運)动(動)互不相容
有政治/健康意识(識)
他们(們)的移民政策是什么(麼)？
将计划/ 政策付诸实施
他们对核试验的政策是什么？"
也,也,也许,"也
我也是名律师師。
他也去过過中国國。"
你,你,你们,"你是我最好的朋友。
如果你表明你喜欢的人,他们很难不反过来喜欢你。
如果你想让你的人生有更多的收获，你需要改变你思考的方式。"
对,"对
对方
绝对
面对","反对
对不起
对付
对外
对待
对应
对手
对抗
对于
对比
对决
对白
对策
对联
对号
对视
对话
对象
对阵
对面
应对
派对
相对
配对
针对","对對准準目标標
河对對岸
他对對着著她咯咯笑。
埃米跪下身子，这样他们可以平视对方。
永远不要动怒，不要威胁对方，以理服人。
有时候衡量友谊不是你能不去伤害对方，而是你能够包容和原谅对方的过错并且让他原谅你的错误。
我绝对不觉得科学已经解释了所有事情。
绝对不该听那些花的话，就只看看它们闻闻花香就行了。
权力导致腐败，绝对的权力导致绝对的腐败。
我们們要勇于於面对對任何困难難。
面对對失败敗,他毫不气氣馁餒。
与(與)⋯面对(對)面"
